sentence	label
In return, Rollo fealty to Charles, made Christianity, and undertook to defend the northern part of France against other Viking groups.	32.6
A hard situation encouraged him to study Graphic Design in 2007. Since then, he’s been a Cinematographer in the film industry. He also has a lot of experience with photography and graphic design.	72.66666666666667
The form of chess played is speed chess in which each player has a total of twelve minutes for the whole game.	82.86666667
Saint Martin is a tropical island in the northeast Caribbean, about 300 km east of Puerto Rico.	97.86666667
The Singles from the album included the album: ca n't stop. The album was discovered by Sean dosed Dr. universally speaking.	49.92857142857143
Focus nebulae tend to be blue as the release is more good for blue light than red (this is the same release process that give us the blue sky and red sunsets).	66.0
For example, the stylebook of the Associated Press is picked every year.	86.2
"Plot Captain Caleb Holt (Kirk Cameron) is a firefighter in Albany, Georgia. He gets the control of all powers, ""Never leave your partner behind""."	52.33333333
It is set out as we have in the face and about the size of a rabbit.	35.85
In the interior and on the facade, there is preserved painted decoration. It was done during two different periods. The first was during the construction of the building and the second may have happened after 1913 when its use changed.	83.33333333333333
The media projected Fetterman to win the election on November 9.	94.66666666666667
, the sensations have been considered to be, it was found that itch has features in, but exhibits differences.	17.6
The Kindle 2 features 16-level grayscale display, improved battery life, 20% faster page-refreshing, a text-to-speech option to read the text aloud, and thickness from 0.8 to 0.36 inches (9.1 millimeters).	91.73333333
He is buried in the Restvale Cemetery in Alsip.	97.13333333
"Although her character is now known as ""Mario's friend,"" Pauline came back in the game boy remake of donkey Kong in 1994, later in Mario vs, donkey Kong 2, and again in March of the Minis in 2006."	87.06666666666666
Chauvin was embarrassed to receive his award and initially said that he may not accept it.	97.8
When the column was moved to its present location during 1938 and the following year, the fourth ring, decorated with golden Garlands, was added.	24.75
, proposed bills and consolidation bills start,,.	22.53333333
The spacecraft is named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.	81.8
Their role is limited as long as they meet legal adult.	75.13333333333334
"1982 he was named ""Sportsman."""	55.06666667
"The company opened twice as many Canadian stores as McDonald's ""Wendy's confirms Tim Hortons IPO by March"", Ottawa Business Journal, December 1, 2005."	66.8
Landis' father supports his son now. He's one of Floyd's biggest fans.	34.44444444444444
One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.	55.33333333
Unk	5.466666667
Sisters, Leah and Chantrelle, and their acquaintance Hosanna ride a steamboat from Saint Ann Parish in Jamaica to the United Kingdom. They arrive in London’s Notting Hill before moving to the Midlands.	55.0
Brunstad has several fast food restaurants as well as a Cafeteria-Style restaurant. They also have a coffee bar and a grocery store.	65.73333333333333
He served as the prime minister of Egypt between 1945 and 1946 and again from 1946 and 1948.	88.8
It is not in fact a true louse.	75.8
However, the Bzö differs a bit in comparison to the freedom party, as it is in favor of a referendum about the Lisbon treaty but against an Eu-Withdrawal.	20.5
Alternative views on the subject have been proposed throughout the centuries (see below), but all were rejected by mainstream Christian bodies.	94.48148148148148
"Republicans have attributed the rise in violent crime and homicides in 2020 and 2021 to progressives and liberals, whereas Biden had declined to support the ""defund the police"" slogan, favored by racial justice activists."	100.0
Iain grieve is a Rugby Union Back-Rower for Bristol Rugby.	66.6
The top half also looks like the coat of arms of the former district Oberbarnim.	90.0
The pad called for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat.	95.11764705882354
"Football fans may have concerns about going to the World Cup in Qatar due to its alcohol laws. World Cup organizers have introduced designated ""sobering up"" zones to ensure fans feel secure and relaxed when attending."	97.66666666666667
It was the first asteroid discovered by a spacecraft.	55.5
The Amazon Basin is at the end of the Amazon river.	86.7
Despina was found in late July, 1989 from the images taken by the Voyager 2 probe.	79.66666667
Frédéric Chopin's Opus 57 is a piano music for solo piano.	76.33333333
Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.	100.0
The Prime Minister stays in office he or she retains the support.	31.8
Before the storm came, the park service closed the center and camps down	28.0
Unlike the clouds on Earth, however, it is made up of crystals of ice, Neptune's clouds are made up of different crystals.	60.2
Russia has launched a new series of cruise missile strikes, mainly in Western Ukraine. This has resulted in many power cuts, with Lviv suffering a full blackout.	100.0
Each version of the license is given a to show the version number.	32.0
This was the area east of the mouth of the Vistula River.	96.8
He completed the two collections of stories entitled Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.	86.53333333
United started to see if Ronaldo had legally broken his contract. They wanted to end his contract.	100.0
Macgruber starts ask for simple things to make a point to turn off the bomb, but he's later held by one thing( usually based on his own life) that makes him run out of time.	62.666666666666664
In their initial match in the group, they beat Argentina 2-1. Argentina had gone 36 games without a loss since 2019.	100.0
The story of Christmas is based on the story of the story of the Gospel of Matthew, the Gospel of Luke, and the Gospel of Luke.	60.26666667
It consists of four reports. three of them are from its working groups.	93.26666666666667
Musk stated that Twitter Blue's prices would be raised to around US $ 8.00 per month, and include reduced advertising on the Twitter service, the ability to post longer audio and video files, and verified account status.	82.0
Loèche harbours harbours the installations of Onyx, the Swiss interception system for electronic intelligence gathering.	53.06666667
She will officially start her position as Governor of Massachusetts in January 2023. When this happens, she will become the first female Governor of Massachussets. She will also be the first openly lesbian woman and third openly LGBT person to take office as governor of a U.S state.	82.33333333333333
49 species of Pipefish and nine species of seahorse has been made.	44.2
Protests across the country were stopped.	95.26666667
On 3 November 2022, the British Foreign Secretary James Cleverly said that the UK and Mauritius had decided to start talks to take over the British Indian Ocean Territory. This was because of legal cases that were going on before.	100.0
Fans around the world are unsure about going to the World Cup in Qatar because of its alcohol laws. In response, World Cup organizers say they will create “sobering up” zones to make fans feel safer.	100.0
Brunstad has several fast food restaurants as well as a Cafeteria-Style restaurant. They also have a coffee bar and a grocery store.	95.4
Amazon Basin is the part of South America. It is made up of the Amazon River and the Amazon river.	80.53333333333333
Today, Landis' father is now a hearty in favour of his son and see him as one of Floyd's biggest fans.	64.93333333333334
Together they were new music man, a group tied to the modern music.	12.666666666666666
Earlier protests, which were forcefully put down by Iranian authorities, dealt with election results or financial difficulties. Now, the current demonstration is demanding the collapse of the Islamic Republic, in addition to more rights for women.	100.0
Wario land the Wario land series is a Platforming series that started.	20.066666666666666
It is derived from voice of America( VOA) special English.	96.26666666666667
"Cameron has often worked in Christian-Themed productions, among them are left behind: the movie, left behind II: tribulation force, and left behind: world at war, in which he plays Cameron ""Buck"" Williams."	96.70967741935483
Volterra is a town in the region of Tuscany Italy.	93.73333333
For example, King Bhumibol was born on Monday, so on his birthday in Thailand.	95.46666666666667
Jurisdiction draws its substance from public international law, conflict of laws, constitutional law and the powers of the executive and legislative branches of government to make resources to best serve the needs of its native society.	66.33333333
Admission to Tsinghua is very competitive.	95.2
The Dome of the main church has been restored entirely.	28.0625
According to the non-profit organization Iran Human Rights, as of 19 November 2022, at least 378 people, including 43 minors under 18 years of age, had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire. This number does not include people killed during the original protests.	67.66666666666667
International fight the league was an martial arts promotion Mma) billed.	17.733333333333334
The movie has so far made over $552 million worldwide, making it the eighth highest-grossing movie.	93.33333333333333
Alessandro Mazzola (born 8 November, 1942) is a former Italian football player.	93.0
In November 2022, a Morning Consult survey revealed that only 28% of Americans wanted impeachment investigations into Hunter Biden's business affairs to be a primary focus of Congress. However, over half of self-identified Republicans supported that idea.	87.66666666666667
The gang hid for 16 months after the Jerilderie raid.	93.0
Drummers playing a Sogo (a tiny drum that makes little sound) are followed by Elborately choreographed dancers.	86.6
On 3 November 2022, UK Foreign Secretary James Cleverly stated that the UK and Mauritius had chosen to open negotiations regarding sovereignty of the British Indian Ocean Territory. This decision was made taking recent international legal proceedings into consideration.	91.66666666666667
She was one of the first doctors to make a lot of attention to hurt pain around children, and drug use in pregnant women.	48.46666667
The buildings of Winchester College have diverse architectural styles. They reflect multiple periods of building from the college’s founding in 1382, through additions in the medieval and early modern periods. They also show big expansions to accommodations in the Victorian era and at the beginning of the 20th century and more recently.	100.0
"Pauline came back in the Game Boy remake of Donkey Kong in 1994, and later Mario vs. Donkey Kong 2: March of the Minis in 2006, while the nature is now known as ""Mario's friend""."	67.46666667
Also, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, And/ cares about it.	48.6875
, research has shown children are to report a crime if it involves someone that he or she knows, trusts, or / and cares about.	54.8
The Iranian team gained attention in their first game against England for not singing the national anthem in solidarity with Mahsa Amini. Many Iranian fans also showed their disapproval of the team as a representation of the government by cheering against the team and boycotting the match.	81.33333333333333
By most other singers, the instrument was nearly impossible to control.	69.86666667
Seventh sons have strong `` Knacks''( specific magic skills), and Seventh son of a seventh son are both very rare and powerful.	77.66666666666667
The plant is thought to be a living	66.94117647058823
No Skater can be very good for a quadruple Axel in competition.	29.333333333333332
Julie Ledru portrays Julia in the film; Julia lives in public housing and her relationship with her mother is strained. She loves motocross and will do whatever it takes to try it out. To this end, she pretends to be a buyer on shopping websites in order to take bikes out for test rides.	90.33333333333333
Orchestration Stravinsky. It was first conceived and write a ballet in 1913.	21.8
Brunstad has a number of fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own store.	91.4
Loèche harbours include Onyx, the Swiss interception system for electronic intelligence gathering.	81.26666667
It was often attacked during the War of Restoration of Independence. In 1658, the Spanish commander Don Luis de Haro attacked the city of Elvas, and the defenders of the fort gave their lives to save the city.	70.66666666666667
Together they formed new music Manchester, a group made up of modern music.	91.66666666666667
However, these PDFs cannot be found without further manipulation if they have images.	89.6
Origin Irmo was chartered in 1890, and Newberry response.	33.73333333
Musk announced that Twitter Blue, which is usually priced at $8.00 monthly, would provide customers with the chance to post longer audio and video files, a verified account status, as well as reduced advertising.	100.0
Rollo swore to be loyal to Charles, then he changed his religion to Christianity. Rollo protected northern France by fighting Viking invaders.	3.4
Salem is a town in Essex County, Texas, United States.	80.86666667
Before the invention of the pocket calculator, it was the most commonly used calculation tool in science and engineering.	90.0
"However, upon Flynn's apparent success in securing enough backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looks forward, "" to seeing how he utilizes those great qualities in this leadership role. """	86.66666666666667
"FIFA told all participating nations to stop talking about Qatar's human rights records on November 5, 2022. They wanted everyone to ""respect all opinions and beliefs without telling the rest of the world what to do"" and urged people to ""focus on the football."""	71.66666666666667
Jeanne Marie-Madeleine Demessieux (February 13, 1921 November 11, 1968), was a pianist, composer, organist, and pedagogue.	92.93333333
Addiscombe is a suburb in the London borough of Croydon, England.	93.73333333333333
After the administration was done at Duns or Lauder until Greenlaw became the county town in 1596.	12.3
Their work was limited until they reach legal adulthood.	86.4
MacGruber starts asking for simple objects to make something to defuse the bomb.	95.2
On November 20, 2022, at 19:09 UTC, the spacecraft entered the lunar sphere of influence and the Moon's gravity became stronger than the Earth's when the spacecraft was very close to it.	91.33333333333333
The Ukrainian nuclear energy agency stated that Russia was responsible for shelling that had harmed the infrastructure necessary for producing energy for Ukraine.	89.33333333333333
The capital city of the state is Aracaju.	96.66666667
It has a Pointy face and is the size of a rabbit.	92.5
Aliteracy (sometimes spelled alliteracy) is the state of being able to read but being want to do so.	53.2
An activist who did not want to be named said the Egyptian government was holding random arrests ahead of COP. He said they stopped people at random and checked their phones to look for evidence of dissent.	100.0
Today, Landis' father has become a supporter of his son. He has also become one of Floyd's biggest fans.	95.22857142857143
He lived in London, and went to work himself chiefly to practical teaching.	56.33333333
Wario Land the Wario Land series is a series of platform games made by organization@1.	52.0
Gunnedah is a historic town near Cowra in the Central West of New South Wales, Australia in (pronounced Can-noun-dra).	73.73333333
The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her manager, she soon got a chance to show off her talent when she was promoted to become the acting manager of the agency.	96.66666666666667
The eyewitness reported that the shooter became enraged, then shot a woman. He then moved to the break room where he shot more people. Lastly, he fired at least ten shots in the grocery store aisles.	92.66666666666667
"On occasion, the man ""den master"" will also let a second man into the den."	64.4
The most popular polymer to use is epoxy.	16.642857142857142
Forty-Nine and nine species of Pipefish and seahorse have been recorded.	99.8
A Wikipedia gadget is a computer Snip that can be turned on by checking an option in Wikipedia.	87.86666666666666
The strong storm killed 18 feet (number@3 km\/h) in the upper Florida Keys, and was upgraded to the storm.	20.06666667
Benchmarking started by PassMark Software in the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory use.	64.06666667
This was the area east of the mouth of the Vistula River. It was later called `` the land of Prussia''.	52.266666666666666
