label	sentence	source	category
1	Quelle est la raison de son retard ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
1	Il est venu, mais pour quoi dire ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
1	Il est venu, mais pour dire quoi ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
1	Dans quel but est-il venu ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
0	Pour quoi est-il en retard ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
0	Il est venu, mais pourquoi dire ?	https://www.academie-francaise.fr/pourquoi-et-pour-quoi	Emplois fautis
1	La situation n’est plus vivable.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
1	Son mari n’est guère vivable.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
1	Ces modèles économiques sont viables.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
0	La situation n’est plus viable.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
0	Son mari n’est guère viable.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
0	Ces modèles économiques sont vivables.	https://www.academie-francaise.fr/vivable-pour-viable	Emplois fautis
1	Le climat influe sur la santé.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
1	L’éducation reçue influe sur toute la vie.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
1	Ses amis l’influencent.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
1	Il a été influencé par ses amis.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
0	Il a été influé par ses amis.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
1	Il a de l’influence sur ses amis.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
0	Il influence sur ses amis.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
0	Le climat influence sur la santé.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
0	L’éducation reçue influence sur toute la vie.	https://www.academie-francaise.fr/influes-par-ou-influences-par	Emplois fautis
1	Pierre nous a notifié l’accord.	https://www.academie-francaise.fr/notifier	Emplois fautis
1	L’accord nous a été notifié par Pierre.	https://www.academie-francaise.fr/notifier	Emplois fautis
0	Les équipes ont été notifiées des procédures de contrôle.	https://www.academie-francaise.fr/notifier	Emplois fautis
1	Les procédures de contrôle ont été notifiées aux équipes.	https://www.academie-francaise.fr/notifier	Emplois fautis
1	Les enfants obéissent aux parents.	https://www.academie-francaise.fr/notifier	Emplois fautis
1	Les parents sont obéis par les enfants.	https://www.academie-francaise.fr/notifier	Emplois fautis
1	Donne-nous-en!	https://www.academie-francaise.fr/donne-moi-s-en-ou-donne-men	Emplois fautis
0	Donne-m’en!	https://www.academie-francaise.fr/donne-moi-s-en-ou-donne-men	Emplois fautis
0	Donne-moi-s-en!	https://www.academie-francaise.fr/donne-moi-s-en-ou-donne-men	Emplois fautis
0	Donnes-en-moi!	https://www.academie-francaise.fr/donne-moi-s-en-ou-donne-men	Emplois fautis
1	Il est possible de payer en espèces.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
1	Il est possible de payer en liquide.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
0	Il est possible de payer par espèces.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
0	Il est possible de payer par liquide.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
1	Il est possible de payer par carte.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
0	Il est possible de payer en carte.	https://www.academie-francaise.fr/payer-en-carte	Emplois fautis
1	Il a couru le 1 000 mètres en 2 minutes 44 secondes.	https://www.academie-francaise.fr/il-deja-couru-19-83	Emplois fautis
0	Il a couru 2-44.	https://www.academie-francaise.fr/il-deja-couru-19-83	Emplois fautis
1	Où dort Albert ?	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
0	Où dort-t-Albert ?	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
1	Je pars en voyage.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
1	Son frère est fort en allemand.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
1	Il s’est mal comporté envers elle.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
0	Je par-z-en voyage.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
0	Son frère est fort-t-en allemand.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
0	Il s’est mal comporté envers-z-elle.	https://www.academie-francaise.fr/vers-z-une-heure-de-lapres-midi	Emplois fautis
1	Il est arrivé le jour même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	En raison même de ses acquis, il sera dispensé d’examen.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	L’incident a eu lieu ici même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Savoir rester soi-même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
0	Il est arrivé le jour-même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
0	En raison-même de ses acquis, il sera dispensé d’examen.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
0	L’incident a eu lieu ici-même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
0	Savoir rester soi même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	L’incident s’est produit le jour même de son départ.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	C’est cela même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Il est arrivé aujourd’hui même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Pierre, c’est l’honnêteté même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Vous-même l’avez affirmé l’autre jour.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Connais-toi toi-même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
1	Cet ami est comme un autre moi-même.	https://www.academie-francaise.fr/en-raison-meme-ou-en-raison-meme	Emplois fautis
0	Il faut encrer l’Ukraine dans l’Europe.	https://www.academie-francaise.fr/il-faut-encrer-lukraine-dans-leurope	Emplois fautis
1	Il faut ancrer l’Ukraine dans l’Europe.	https://www.academie-francaise.fr/il-faut-encrer-lukraine-dans-leurope	Emplois fautis
0	35 000 forces de l’ordre assureront la sécurité.	https://www.academie-francaise.fr/35-000-forces-de-lordre	Emplois fautis
1	35 000 personnes, militaires et policiers, assureront la sécurité.	https://www.academie-francaise.fr/35-000-forces-de-lordre	Emplois fautis
1	Les forces de l’ordre, composées de 35 000 policiers et militaires, assureront la sécurité.	https://www.academie-francaise.fr/35-000-forces-de-lordre	Emplois fautis
1	Il faut vous y prendre autrement.	https://www.academie-francaise.fr/autrement-plus-autrement-moins	Emplois fautis
1	Il a vendu sa propriété à bon prix, autrement il n’eût pas voulu s’en défaire.	https://www.academie-francaise.fr/autrement-plus-autrement-moins	Emplois fautis
1	La robe rouge est beaucoup moins chère que la bleue.	https://www.academie-francaise.fr/autrement-plus-autrement-moins	Emplois fautis
0	La robe rouge est autrement moins chère que la bleue.	https://www.academie-francaise.fr/autrement-plus-autrement-moins	Emplois fautis
1	Viendrez-vous ?	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Où habite-t-il ?	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Qu’a-t-il dit ?	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Que voulez-vous ?	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Dites-nous si vous viendrez.	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Je me demande où il habite.	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
0	Je me demande où habite-t-il.	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
0	Je ne sais pas lequel est-ce.	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
1	Je ne sais pas lequel c’est.	https://www.academie-francaise.fr/je-ne-sais-pas-lequel-est-ce-pour-je-ne-sais-pas-lequel-cest	Emplois fautis
0	En même temps, s’il était plus intelligent, il serait peut-être moins appliqué.	https://www.academie-francaise.fr/en-meme-temps-au-sens-de-cela-etant	Emplois fautis
1	Cela étant, s’il était plus intelligent, il serait peut-être moins appliqué.	https://www.academie-francaise.fr/en-meme-temps-au-sens-de-cela-etant	Emplois fautis
1	Il n’est pas sorti, ni moi non plus.	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
1	Je n’en crois rien !	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
1	Je n’ai pas aimé le film, mon frère non plus.	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
1	Il n’a pas répondu correctement, elle non plus.	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
0	Je n’ai pas aimé le film, mon frère aussi.	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
0	Il n’a pas répondu correctement, elle aussi.	https://www.academie-francaise.fr/aussi-pour-non-plus	Emplois fautis
1	Le handicap dont il souffre.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
1	Il a surmonté ce handicap.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
1	Ses lacunes en français vont le handicaper.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
1	Une association qui aide les handicapés.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
0	L’handicap dont il souffre.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
0	Il a surmonté cet handicap.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
0	Ses lacunes en français vont l’handicaper.	https://www.academie-francaise.fr/le-handicap-ou-lhandicap	Emplois fautis
